Duke Nukem 3D: 20th Anniversary World Tour, 144
KILL la KILL: IF  v1.01, 144
Motorsport Manager  v1.4.14933 + 4 DLC, 144
RiME  v1.01, 144
One Piece: Burning Blood  Gold Edition (All DLCs), 142
Super Dragon Ball Heroes: World Mission + 3 DLCs + Multiplayer, 142
Vanquish, 142
My Hero Ones Justice + 4 DLCs, 141
Super Luckys Tale + DLC, 141
Green Hell, 140
Rune II  v1.0.919 + Server + Bonus Content, 140
Star Ocean: The Last Hope  4K & Full HD Remaster, 140
EVERSPACE, 139
"BlazBlue: Cross Tag Battle  Special Edition,  v2.0 + 14 DLCs + Bonus Content", 138
Dragon Quest Heroes 2: Explorers Edition + All DLCs, 138
SENRAN KAGURA Reflexions + 20 DLCs, 138
Railway Empire  v1.13.0.25785 + 9 DLCs, 137
Hunt Down The Freeman + Update 1 (Day 1 Patch), 136
Road Redemption, 136
Ion Fury, 135
PixARK  v1.82 + 2 DLCs, 135
Champions of Anteria  v1.7.499537.X + All DLCs, 134
Crysis  v1.1.1.6156, 134
"Q.U.B.E. 2,  v1.8 + 3 DLCs + Soundtrack", 134
Red Faction: Guerrilla  Steam Edition, 134
"Space Hulk: Deathwing  Enhanced Edition,  v2.42 + 3 DLC", 134
We. The Revolution  v1.0.0, 134
MotoGP 19 + Historical Pack DLC, 133
Tales of Vesperia: Definitive Edition + 2 DLCs, 133
Danganronpa V3: Killing Harmony, 132
Dead Rising + All DLCs + HotFix, 132
RAID: World War II + v15.1 + DLCs, 132
Desolate  v1.0, 130
Red Faction Guerrilla Re-Mars-tered  v1.0 cs:4450 (Update 7), 130
Earth Defense Force 5 + 20 DLCs + Multiplayer, 129
Vikings: Wolves of Midgard, 129
Nights of Azure + Update 1, 128
"Warhammer 40, 000: Dawn of War 3  v4.0.0.16278 + PreOrder Bonus", 128
Aliens vs. Predator + 2 DLC, 127
Close to the Sun, 125
Extinction, 125
NBA 2K Playgrounds 2 + All Star Update, 125
One Piece: Unlimited World Red  Deluxe Edition, 125
Warriors All-Stars + 27 DLCs, 124
F1 2016  v1.8.0 + DLC + Multiplayer, 123
Sherlock Holmes: The Devils Daughter, 123
Super Neptunia RPG: Deluxe Edition  v20190807 + 13 DLCs, 123
Shenmue I & II, 122
ABZU  v1.1 + Proper Crack, 121
Super Robot Wars V + 2 DLCs, 121
